date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:39:39	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Mar%202018%2014:09:39%20GMT	https://cryptohawk.com/robots.txt		(from )
19:39:40	33587/33587	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:09:41%20GMT	https://cryptohawk.com/	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/index.html	(from )
19:39:41	3724/3724	---MCZ	200	added ('OK')	text/css	etag:W/%222920561-e8c-5616a9ed8a316%22	https://cryptohawk.com/css/jquery.fullpage.min.css	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/css/jquery.fullpage.min.css	(from https://cryptohawk.com/)
19:39:43	96410/96410	---MCZ	200	added ('OK')	text/css	etag:W/%222920da9-1789a-564b41126446f%22	https://cryptohawk.com/css/style.css	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/css/style.css	(from https://cryptohawk.com/)
19:39:44	27969/27969	---MCZ	200	added ('OK')	text/css	etag:W/%222920583-6d41-5616a9edbfe76%22	https://cryptohawk.com/css/intlTelInput.css	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/css/intlTelInput.css	(from https://cryptohawk.com/)
19:39:44	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	D:/HT%20TRACK/https___cryptohawk.com_/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://cryptohawk.com/)
19:39:44	2141/2141	---MCZ	200	added ('OK')	application/javascript	etag:W/%222920afe-85d-5616a9f99dfd6%22	https://cryptohawk.com/js/common.js	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/js/common.js	(from https://cryptohawk.com/)
19:39:45	27884/27884	---MCZ	200	added ('OK')	application/javascript	etag:W/%222920bac-6cec-5616a9fac9cb6%22	https://cryptohawk.com/js/jquery.fullpage.min.js	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/js/jquery.fullpage.min.js	(from https://cryptohawk.com/)
19:39:46	9145/9145	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:09:46%20GMT	https://cryptohawk.com/register	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/register.html	(from https://cryptohawk.com/)
19:39:46	8090/8090	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:09:46%20GMT	https://cryptohawk.com/login	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/login.html	(from https://cryptohawk.com/)
